municipio,año,casos,poblacion,casos_per_100k,key
ARAUQUITA,2006,19,58905.0,32.255326372973435,ARAUQUITA_2006
ARAUQUITA,2007,9,58905.0,15.278838808250573,ARAUQUITA_2007
ARAUQUITA,2008,14,58905.0,23.767082590612002,ARAUQUITA_2008
ARAUQUITA,2009,18,58905.0,30.557677616501145,ARAUQUITA_2009
ARAUQUITA,2010,13,58905.0,22.06943383413972,ARAUQUITA_2010
ARAUQUITA,2011,20,58905.0,33.95297512944572,ARAUQUITA_2011
ARAUQUITA,2012,18,58905.0,30.557677616501145,ARAUQUITA_2012
ARAUQUITA,2013,26,58905.0,44.13886766827944,ARAUQUITA_2013
ARAUQUITA,2014,24,58905.0,40.74357015533486,ARAUQUITA_2014
ARAUQUITA,2015,5,58905.0,8.48824378236143,ARAUQUITA_2015
ARAUQUITA,2016,7,58905.0,11.883541295306001,ARAUQUITA_2016
ARAUQUITA,2017,11,58905.0,18.674136321195142,ARAUQUITA_2017
ARAUQUITA,2018,12,58905.0,20.37178507766743,ARAUQUITA_2018
ARAUQUITA,2019,6,58905.0,10.185892538833714,ARAUQUITA_2019
ARAUQUITA,2020,4,58905.0,6.790595025889144,ARAUQUITA_2020
ARAUQUITA,2021,5,58905.0,8.48824378236143,ARAUQUITA_2021
ARAUQUITA,2022,6,58905.0,10.185892538833714,ARAUQUITA_2022
ARAUQUITA,2023,6,58905.0,10.185892538833714,ARAUQUITA_2023
ARAUQUITA,2024,3,58905.0,5.092946269416857,ARAUQUITA_2024
ARBELAEZ,1999,8,,,ARBELAEZ_1999
ARBELAEZ,2000,3,,,ARBELAEZ_2000
ARBELAEZ,2001,1,,,ARBELAEZ_2001
ARBELAEZ,2002,1,,,ARBELAEZ_2002
ARBOLEDA,2000,1,8437.0,11.852554225435583,ARBOLEDA_2000
ARBOLEDA,2001,1,8437.0,11.852554225435583,ARBOLEDA_2001
ARBOLEDAS,1987,1,10293.0,9.71534052268532,ARBOLEDAS_1987
ARBOLEDAS,1989,2,10293.0,19.43068104537064,ARBOLEDAS_1989
ARBOLEDAS,1990,2,10293.0,19.43068104537064,ARBOLEDAS_1990
ARBOLEDAS,1991,7,10293.0,68.00738365879724,ARBOLEDAS_1991
ARBOLEDAS,1992,4,10293.0,38.86136209074128,ARBOLEDAS_1992
ARBOLEDAS,1994,1,10293.0,9.71534052268532,ARBOLEDAS_1994
ARBOLEDAS,1996,2,10293.0,19.43068104537064,ARBOLEDAS_1996
ARBOLEDAS,1999,7,10293.0,68.00738365879724,ARBOLEDAS_1999
ARBOLEDAS,2000,4,10293.0,38.86136209074128,ARBOLEDAS_2000
ARBOLEDAS,2001,3,10293.0,29.146021568055964,ARBOLEDAS_2001
ARBOLEDAS,2002,7,10293.0,68.00738365879724,ARBOLEDAS_2002
