municipio,year,hectares_lost
SAN CAYETANO,2001,31
CUCUTA,2001,1920
SANTIAGO,2001,385
SILOS,2001,2
SARDINATA,2001,1814
TEORAMA,2001,340
TIBU,2001,2095
TOLEDO,2001,57
VILLA CARO,2001,155
VILLA DEL ROSARIO,2001,10
COLON,2001,6
ORITO,2001,1120
PUERTO ASIS,2001,2126
PUERTO CAICEDO,2001,639
PUERTO GUZMAN,2001,2768
PUERTO LEGUIZAMO,2001,1440
SAN FRANCISCO,2001,11
SAN MIGUEL,2001,353
MOCOA,2001,101
SANTIAGO,2001,12
SIBUNDOY,2001,13
VALLE DEL GUAMUEZ,2001,1253
VILLAGARZON,2001,487
ARMENIA,2001,129
BUENAVISTA,2001,23
CALARCA,2001,143
CIRCASIA,2001,46
CORDOBA,2001,38
FILANDIA,2001,86
GENOVA,2001,94
LA TEBAIDA,2001,65
MONTENEGRO,2001,118
PIJAO,2001,48
QUIMBAYA,2001,168
SALENTO,2001,117
APIA,2001,54
BALBOA,2001,44
BELEN DE UMBRIA,2001,107
DOSQUEBRADAS,2001,17
GUATICA,2001,40
LA CELIA,2001,25
LA VIRGINIA,2001,3
MARSELLA,2001,65
MISTRATO,2001,32
PEREIRA,2001,314
PUEBLO RICO,2001,29
QUINCHIA,2001,23
SANTA ROSA DE CABAL,2001,229
SANTUARIO,2001,94
ISLAS SERRANILLA,2001,0
PROVIDENCIA,2001,8
SAN ANDRES,2001,3
AGUADA,2001,8
ALBANIA,2001,13
ARATOCA,2001,11
BARBOSA,2001,13
BARICHARA,2001,6
BARRANCABERMEJA,2001,607
BETULIA,2001,124
BOLIVAR,2001,1469
BUCARAMANGA,2001,5
CABRERA,2001,12
CALIFORNIA,2001,9
CAPITANEJO,2001,1
CARCASI,2001,4
CEPITA,2001,0
CERRITO,2001,1
CHARALA,2001,24
CHARTA,2001,11
CHIMA,2001,6
CHIPATA,2001,14
CIMITARRA,2001,4097
CONCEPCION,2001,0
CONFINES,2001,9
CONTRATACION,2001,4
COROMORO,2001,21
CURITI,2001,21
EL CARMEN DE CHUCURI,2001,438
EL GUACAMAYO,2001,3
EL PE¥ON,2001,18
EL PLAYON,2001,96
ENCINO,2001,14
ENCISO,2001,1
FLORIDABLANCA,2001,9
FLORIAN,2001,24
GALAN,2001,37
GIRON,2001,87
GUACA,2001,7
GUADALUPE,2001,15
GUAPOTA,2001,4
GUAVATA,2001,5
GAMBITA,2001,30
GUEPSA,2001,13
HATO,2001,14
JESUS MARIA,2001,6
JORDAN,2001,2
LA BELLEZA,2001,54
LA PAZ,2001,15
LANDAZURI,2001,353
LEBRIJA,2001,173
LOS SANTOS,2001,5
MACARAVITA,2001,1
MATANZA,2001,17
MOGOTES,2001,28
MOLAGAVITA,2001,4
MALAGA,2001,1
OCAMONTE,2001,9
OIBA,2001,15
ONZAGA,2001,19
PALMAR,2001,5
PALMAS DEL SOCORRO,2001,11
PIEDECUESTA,2001,39
PINCHOTE,2001,8
PUENTE NACIONAL,2001,17
PUERTO PARRA,2001,726
PUERTO WILCHES,2001,1027
PARAMO,2001,15
RIONEGRO,2001,569
SABANA DE TORRES,2001,1052
SAN ANDRES,2001,16
SAN BENITO,2001,20
SAN GIL,2001,9
SAN JOAQUIN,2001,8
SAN JOSE DE MIRANDA,2001,3
SAN MIGUEL,2001,2
SAN VICENTE DE CHUCURI,2001,751
SANTA BARBARA,2001,5
SANTA HELENA DEL OPON,2001,68
SIMACOTA,2001,749
SOCORRO,2001,26
SUAITA,2001,42
SUCRE,2001,290
SURATA,2001,20
TONA,2001,16
VALLE DE SAN JOSE,2001,7
VETAS,2001,15
VILLANUEVA,2001,2
VELEZ,2001,117
ZAPATOCA,2001,64
BUENAVISTA,2001,9
CAIMITO,2001,169
CHALAN,2001,4
COLOSO,2001,3
COROZAL,2001,107
COVEÑAS,2001,11
EL ROBLE,2001,87
GALERAS,2001,165
GUARANDA,2001,25
LA UNION,2001,178
LOS PALMITOS,2001,20
MAJAGUAL,2001,58
MORROA,2001,23
OVEJAS,2001,125
SAMPUES,2001,102
SAN ANTONIO DE PALMITO,2001,35
SAN BENITO ABAD,2001,816
SAN JUAN DE BETULIA,2001,26
SAN MARCOS,2001,638
SAN ONOFRE,2001,177
SAN PEDRO,2001,7
SINCELEJO,2001,97
SINCE,2001,191
SUCRE,2001,487
TOLUVIEJO,2001,6
TOLU,2001,9
ALPUJARRA,2001,29
ALVARADO,2001,215
AMBALEMA,2001,48
ANZOATEGUI,2001,145
ARMERO,2001,152
ATACO,2001,200
CAJAMARCA,2001,201
CARMEN DE APICALA,2001,25
CASABIANCA,2001,17
CHAPARRAL,2001,463
COELLO,2001,137
COYAIMA,2001,63
CUNDAY,2001,210
DOLORES,2001,94
ESPINAL,2001,20
FALAN,2001,112
FLANDES,2001,4
FRESNO,2001,70
GUAMO,2001,32
HERVEO,2001,29
HONDA,2001,84
IBAGUE,2001,449
ICONONZO,2001,69
LERIDA,2001,95
LIBANO,2001,182
MELGAR,2001,69
MURILLO,2001,42
NATAGAIMA,2001,45
ORTEGA,2001,273
PALOCABILDO,2001,49
PIEDRAS,2001,201
PLANADAS,2001,181
PRADO,2001,104
PURIFICACION,2001,82
RIOBLANCO,2001,277
RONCESVALLES,2001,214
ROVIRA,2001,192
SALDA¥A,2001,17
