año,municipio,departamento,categoria,grupo_especifico,tipo_violencia,lat,lon
2000,CACHIPAY,CUNDINAMARCA,GUERRILLA,FARC,AT_Atentados_Terroristas,4.723063341,-74.45919528
2000,BARRANCABERMEJA,SANTANDER,GUERRILLA,ELN,AT_Atentados_Terroristas,7.054074558,-73.78211646
2000,SANTIAGO DE CALI,VALLE DEL CAUCA,GUERRILLA,ELN,AT_Atentados_Terroristas,3.414162,-76.521469
2000,PUERTO ASIS,PUTUMAYO,GUERRILLA,FARC,AT_Atentados_Terroristas,0.433884539,-76.52158203
2000,GRANADA,ANTIOQUIA,GUERRILLA,FARC,AT_Atentados_Terroristas,6.142892,-75.184446
2001,SAN FRANCISCO,ANTIOQUIA,GUERRILLA,ELN,AT_Atentados_Terroristas,5.840093731,-74.98176334
2001,MARINILLA,ANTIOQUIA,GUERRILLA,ELN,AT_Atentados_Terroristas,6.172156,-75.33889
2001,SAN RAFAEL,ANTIOQUIA,GUERRILLA,FARC,AT_Atentados_Terroristas,6.293759,-75.02849
2001,PEÑOL,ANTIOQUIA,GUERRILLA,ELN,AT_Atentados_Terroristas,6.232396368,-75.22350905
2002,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,FARC,AT_Atentados_Terroristas,4.316107698,-74.1810727
2002,PUERTO LLERAS,META,GUERRILLA,FARC,AT_Atentados_Terroristas,3.269732,-73.373743
2002,CALAMAR,GUAVIARE,GRUPO ARMADO NO IDENTIFICADO,,AT_Atentados_Terroristas,1.613634284,-73.0342639
2002,PUERTO CARREÑO,VICHADA,GUERRILLA,FARC,AT_Atentados_Terroristas,5.836529669,-68.14122234
2002,FUENTE DE ORO,META,GUERRILLA,FARC,AT_Atentados_Terroristas,3.382370124,-73.59625429
2002,VILLAVICENCIO,META,GUERRILLA,FARC,AT_Atentados_Terroristas,4.09166877,-73.49291594
2002,BARRANQUILLA,ATLANTICO,GUERRILLA,FARC,AT_Atentados_Terroristas,10.98152051,-74.82771544
2002,JAMUNDI,VALLE DEL CAUCA,GRUPO PARAMILITAR,,AT_Atentados_Terroristas,3.213892389,-76.62760418
2002,LA PINTADA,ANTIOQUIA,GUERRILLA,FARC,AT_Atentados_Terroristas,5.746583958,-75.60220206
2002,LA PINTADA,ANTIOQUIA,GUERRILLA,FARC,AT_Atentados_Terroristas,5.746583958,-75.60220206
2002,CHIGORODO,ANTIOQUIA,GUERRILLA,FARC,AT_Atentados_Terroristas,7.631665644,-76.63964213
2002,MIRANDA,CAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,3.253161,-76.229046
2002,GUADALUPE,ANTIOQUIA,GUERRILLA,FARC,AT_Atentados_Terroristas,6.861576325,-75.22591303
2002,SAN JUAN DE RIOSECO,CUNDINAMARCA,GUERRILLA,FARC,AT_Atentados_Terroristas,4.814537831,-74.61525985
2002,SAN VICENTE DEL CAGUAN,CAQUETA,GUERRILLA,FARC,AT_Atentados_Terroristas,1.308465061,-74.19746971
2002,TAME,ARAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,6.390650479,-71.79178647
2002,DOSQUEBRADAS,RISARALDA,GRUPO ARMADO NO IDENTIFICADO,,AT_Atentados_Terroristas,4.8272,-75.682469
2002,SARAVENA,ARAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,6.906941714,-71.85070757
2002,ARAUQUITA,ARAUCA,GUERRILLA,,AT_Atentados_Terroristas,6.799338394,-71.29827429
2002,EL CARMEN DE BOLIVAR,BOLIVAR,GUERRILLA,FARC,AT_Atentados_Terroristas,9.699819876,-75.15793573
2002,GRANADA,CUNDINAMARCA,GUERRILLA,FARC,AT_Atentados_Terroristas,4.523484884,-74.33724619
2002,ARAUCA,ARAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,6.796280825,-70.50921153
2002,BARRANQUILLA,ATLANTICO,GUERRILLA,FARC,AT_Atentados_Terroristas,10.977998,-74.815324
2002,CUCUTA,NORTE DE SANTANDER,GUERRILLA,ELN,AT_Atentados_Terroristas,8.112041811,-72.48862641
2002,CUCUNUBA,CUNDINAMARCA,GUERRILLA,ELN,AT_Atentados_Terroristas,5.230308105,-73.78001885
2002,SANTA MARTA,MAGDALENA,GUERRILLA,FARC,AT_Atentados_Terroristas,11.204685,-74.200077
2002,NEIVA,HUILA,GUERRILLA,FARC,AT_Atentados_Terroristas,2.993360046,-75.27236232
2003,FORTUL,ARAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,6.750907234,-71.79124241
2003,MEDELLIN,ANTIOQUIA,GUERRILLA,FARC,AT_Atentados_Terroristas,6.250063,-75.578661
2003,SAN VICENTE DEL CAGUAN,CAQUETA,GUERRILLA,FARC,AT_Atentados_Terroristas,1.308465061,-74.19746971
2003,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,FARC,AT_Atentados_Terroristas,4.316107698,-74.1810727
2003,CUCUTA,NORTE DE SANTANDER,GUERRILLA,ELN,AT_Atentados_Terroristas,8.112041811,-72.48862641
