año_num,año,municipio,departamento,perpetrador,victimas,lat,lon,tipo_violencia
2002,2002,SANTA MARTA,MAGDALENA,AUTODEFENSAS DE HERNÁN GIRALDO,1.0,11.24746236,-73.83616161,CDF_Desaparicion_Forzada
2002,2002,SANTA MARTA,MAGDALENA,AUTODEFENSAS DE HERNÁN GIRALDO,1.0,11.12189436,-73.88527855,CDF_Desaparicion_Forzada
2002,2002,SANTA MARTA,MAGDALENA,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1.0,11.24746236,-73.83616161,CDF_Desaparicion_Forzada
1997,1997,CHIVOLO,MAGDALENA,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1.0,10.139234,-74.41519988,CDF_Desaparicion_Forzada
2002,2002,CIENAGA,MAGDALENA,AUTODEFENSAS DE HERNÁN GIRALDO,1.0,10.85754552,-74.02500493,CDF_Desaparicion_Forzada
2002,2002,CIENAGA,MAGDALENA,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1.0,10.85754552,-74.02500493,CDF_Desaparicion_Forzada
2000,2000,REMOLINO,MAGDALENA,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1.0,10.64860351,-74.58106823,CDF_Desaparicion_Forzada
2004,2004,EL CASTILLO,META,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1.0,3.60282633,-73.89445238,CDF_Desaparicion_Forzada
2002,2002,SAN JUAN DE ARAMA,META,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1.0,3.373728,-73.875832,CDF_Desaparicion_Forzada
1997,1997,ABREGO,NORTE DE SANTANDER,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1.0,8.081616,-73.221722,CDF_Desaparicion_Forzada
1997,1997,ABREGO,NORTE DE SANTANDER,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1.0,8.081616,-73.221722,CDF_Desaparicion_Forzada
2002,2002,EL TARRA,NORTE DE SANTANDER,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,2.0,8.678263671,-73.0317597,CDF_Desaparicion_Forzada
2003,2003,OCAÑA,NORTE DE SANTANDER,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1.0,8.247588,-73.355889,CDF_Desaparicion_Forzada
2001,2001,TIBU,NORTE DE SANTANDER,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1.0,8.713507237,-72.79925855,CDF_Desaparicion_Forzada
2001,2001,TIBU,NORTE DE SANTANDER,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,2.0,8.713507237,-72.79925855,CDF_Desaparicion_Forzada
2000,2000,RIONEGRO,SANTANDER,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1.0,7.607273437,-73.57613564,CDF_Desaparicion_Forzada
2003,2003,GAMBITA,SANTANDER,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1.0,5.924383558,-73.31939934,CDF_Desaparicion_Forzada
1993,1993,RIONEGRO,SANTANDER,OTRO,3.0,7.474226085,-73.37246417,CDF_Desaparicion_Forzada
2001,2001,PALMITO,SUCRE,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,2.0,9.334940293,-75.56199027,CDF_Desaparicion_Forzada
2003,2003,COYAIMA,TOLIMA,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1.0,3.775490271,-75.14720213,CDF_Desaparicion_Forzada
2001,2001,GUAMO,TOLIMA,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,3.0,4.076501341,-74.97657287,CDF_Desaparicion_Forzada
2000,2000,BUENAVENTURA,VALLE DEL CAUCA,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,2.0,3.493340766,-77.11872831,CDF_Desaparicion_Forzada
