departamento,municipio,municipio_id,year,loss_ha,key
Antioquia,Dabeiba,DABEIBA,2024,442,DABEIBA_2024
Antioquia,Don Matías,DON MATIAS,2024,13,DON MATIAS_2024
Antioquia,Ebéjico,EBEJICO,2024,44,EBEJICO_2024
Antioquia,El Bagre,EL BAGRE,2024,975,EL BAGRE_2024
Antioquia,El Carmen de Viboral,EL CARMEN DE VIBORAL,2024,49,EL CARMEN DE VIBORAL_2024
Antioquia,El Sopetrán,EL SOPETRAN,2024,57,EL SOPETRAN_2024
Antioquia,Entrerríos,ENTRERRIOS,2024,67,ENTRERRIOS_2024
Antioquia,Envigado,ENVIGADO,2024,8,ENVIGADO_2024
Antioquia,Fredonia,FREDONIA,2024,29,FREDONIA_2024
Antioquia,Frontino,FRONTINO,2024,226,FRONTINO_2024
Antioquia,Giraldo,GIRALDO,2024,9,GIRALDO_2024
Antioquia,Girardota,GIRARDOTA,2024,7,GIRARDOTA_2024
Antioquia,Granada,GRANADA,2024,63,GRANADA_2024
Antioquia,Guadalupe,GUADALUPE,2024,12,GUADALUPE_2024
Antioquia,Guarné,GUARNE,2024,33,GUARNE_2024
Antioquia,Guatapé,GUATAPE,2024,2,GUATAPE_2024
Antioquia,Gómez Plata,GOMEZ PLATA,2024,69,GOMEZ PLATA_2024
Antioquia,Heliconia,HELICONIA,2024,11,HELICONIA_2024
Antioquia,Hispania,HISPANIA,2024,44,HISPANIA_2024
Antioquia,Itagüí,ITAGUI,2024,0,ITAGUI_2024
Antioquia,Ituango,ITUANGO,2024,402,ITUANGO_2024
Antioquia,Jardín,JARDIN,2024,46,JARDIN_2024
Antioquia,Jericó,JERICO,2024,44,JERICO_2024
Antioquia,La Ceja,LA CEJA,2024,34,LA CEJA_2024
Antioquia,La Estrella,LA ESTRELLA,2024,0,LA ESTRELLA_2024
Antioquia,La Pintada,LA PINTADA,2024,27,LA PINTADA_2024
Antioquia,La Unión,LA UNION,2024,25,LA UNION_2024
Antioquia,Liborina,LIBORINA,2024,14,LIBORINA_2024
Antioquia,Maceo,MACEO,2024,89,MACEO_2024
Antioquia,Marinilla,MARINILLA,2024,3,MARINILLA_2024
Antioquia,Medellín,MEDELLIN,2024,85,MEDELLIN_2024
Antioquia,Montebello,MONTEBELLO,2024,48,MONTEBELLO_2024
Antioquia,Murindó,MURINDO,2024,63,MURINDO_2024
Antioquia,Mutatá,MUTATA,2024,153,MUTATA_2024
Antioquia,Nariño,NARINO,2024,20,NARINO_2024
Antioquia,Nechí,NECHI,2024,316,NECHI_2024
Antioquia,Necoclí,NECOCLI,2024,530,NECOCLI_2024
Antioquia,Olaya,OLAYA,2024,8,OLAYA_2024
Antioquia,Pequé,PEQUE,2024,91,PEQUE_2024
